b6,T60,T100,T365,M365,NK365,CTL365,B365,t_to_1e5,t_to_1e6,auc_0_120
1.0e-7,5004.050429871489,12833.342969546256,9.750214482609129e6,487535.852225036,716.3841600847968,15.755575987986273,205.03003970155322,136.0,151.0,829451.3874765207
2.0e-7,4081.572637511306,8498.171597326633,9.748163338101273e6,487433.4867910911,716.5342901816862,15.7588701669558,205.07307979868764,156.0,170.0,564395.5189815648
3.0e-7,3351.3557891973073,5992.164473418051,9.746109503827263e6,487330.8853682318,716.6848310732,15.762176736637786,205.1162459980568,182.0,197.0,416096.84772108984
4.0e-7,2768.057606849479,4416.1068985469055,9.743935624553194e6,487216.8880048082,716.8522482313901,15.766029781288786,205.16422153277588,223.0,237.0,320708.62919592776
5.0e-7,2298.3026001055914,3361.043898664758,9.615334458495673e6,475352.5664743809,734.7941075790376,16.34633720370646,210.29290925968857,295.0,310.0,254163.5353708011
7.0e-7,1605.962474566457,2081.314321817949,2857.2835755563856,642.6903562113722,209318.67213686576,780.4865948957125,118732.46509360238,NaN,NaN,168068.45899656127
1.0e-6,963.7049922846753,1125.1368536038904,1214.7038007038616,560.7344344265248,220024.7788245464,387.8377099059886,131452.47411388077,NaN,NaN,97276.06402794694
1.5e-6,432.4600861334985,465.4729904840148,473.77841590564384,523.6889168993628,225270.33710220183,163.61282757538476,138180.9303688846,NaN,NaN,43066.39798846057
2.0e-6,201.70399902473383,209.7075148774857,210.93643129677764,510.54682128537877,227192.05897501716,75.59041804711516,140736.68077189935,NaN,NaN,20211.647495608366
3.0e-6,46.421011025830005,47.06334846680347,47.11099419591282,502.3555497145573,228406.52110988327,18.266587911176714,142378.03075646164,NaN,NaN,4798.380409282995
5.0e-6,2.6375736588321987,2.639812330559598,2.6398908491225264,500.1320346601225,228738.43911210165,2.3670913421381607,142830.21470243228,NaN,NaN,309.8170518308232
