1,b6,T60,T100,T365,M365,NK365,CTL365,B365,t_to_1e5,t_to_1e6,auc_0_120
direct,2.00E-07,4081.572638,8498.171597,9.75E+06,487433.4868,716.5342902,15.75887017,205.0730798,156,170,564395.519
direct,3.00E-07,3351.355789,5992.164473,9.75E+06,487330.8854,716.6848311,15.76217674,205.116246,182,197,416096.8477
direct,4.00E-07,2768.057607,4416.106899,9.74E+06,487216.888,716.8522482,15.76602978,205.1642215,223,237,320708.6292
direct,5.00E-07,2298.3026,3361.043899,9.62E+06,475352.5665,734.7941076,16.3463372,210.2929093,295,310,254163.5354
direct,7.00E-07,1605.962475,2081.314322,2857.283576,642.6903562,209318.6721,780.4865949,118732.4651,NaN,NaN,168068.459
direct,1.00E-06,963.7049923,1125.136854,1214.703801,560.7344344,220024.7788,387.8377099,131452.4741,NaN,NaN,97276.06403
direct,1.50E-06,432.4600861,465.4729905,473.7784159,523.6889169,225270.3371,163.6128276,138180.9304,NaN,NaN,43066.39799
direct,2.00E-06,201.703999,209.7075149,210.9364313,510.5468213,227192.059,75.59041805,140736.6808,NaN,NaN,20211.6475
coupled,2.00E-07,4081.579146,8498.192011,9.75E+06,487433.4868,716.5342902,15.75887017,205.0730797,156,170,564396.7636
coupled,3.00E-07,3351.361241,5992.178145,9.75E+06,487330.8854,716.6848311,15.76217674,205.116247,182,197,416097.6884
coupled,4.00E-07,2768.062174,4416.116694,9.74E+06,487216.8883,716.8522477,15.76602977,205.1642218,223,237,320709.2491
coupled,5.00E-07,2298.306425,3361.051211,9.62E+06,475353.2346,734.7930718,16.34630359,210.2926131,295,310,254164.0134
coupled,7.00E-07,1605.965156,2081.318679,2857.293709,642.6908587,209318.6101,779.6486415,118732.3949,NaN,NaN,168068.7617
coupled,1.00E-06,963.7065842,1125.139056,1214.706501,560.7345694,220024.7602,386.6226687,131452.4508,NaN,NaN,97276.22891
coupled,1.50E-06,432.4607766,465.4738174,473.7792866,523.6889604,225270.3308,162.2563075,138180.9221,NaN,NaN,43066.46537
coupled,2.00E-06,201.7043124,209.7078657,210.9367892,510.5468392,227192.0563,74.1961752,140736.6772,NaN,NaN,20211.67754
