b5,T60,T100,T365,M365,NK365,CTL365,B365,t_to_1e5,t_to_1e6,auc_0_120
1.0e-7,2872.252398371085,4312.58472342509,7.860463126330074e6,388339.3920008715,899.0390896344766,20.01378722955086,189042.64262435515,268.0,285.0,321624.1921696164
3.0e-7,2882.7555888590005,4338.8985761843915,9.066671635855487e6,451326.4538798937,773.7700200006847,17.095944739025647,65057.44348743008,266.0,283.0,323221.4304198845
1.0e-6,2919.0785902862804,4430.8241341588455,9.545277300406674e6,476975.6129850938,732.2181371019641,16.115936709838827,20128.458685735903,257.0,274.0,328788.06768490793
3.0e-6,3019.2222549342337,4691.854381282212,9.683783442392718e6,484185.5600816916,721.3329624517273,15.866754314796662,6791.0146537646915,238.0,254.0,344491.2934798062
1.0e-5,3331.587819831265,5582.185858945654,9.731798413920615e6,486616.0901331128,717.7366482498344,15.78630286539599,2046.606905479938,200.0,216.0,397160.45557413885
3.0e-5,3982.1500981839977,7859.149309256921,9.745434149784936e6,487297.283969519,716.7347472773458,15.763750538371132,683.1139876993765,162.0,177.0,529273.4858858477
0.0001,5004.0502310658185,12833.343848156766,9.75021448261002e6,487535.85222503636,716.384160084744,15.755575946486937,205.0300835323837,136.0,151.0,829451.396113259
0.0003,5693.652037657688,17355.98166286308,9.751581482063703e6,487604.0700011439,716.283874715478,15.753158034492348,68.35249015285497,127.0,141.0,1.1389726744114915e6
0.001,6023.306447211029,19924.466823579205,9.75206006522304e6,487627.95272799075,716.2487547114904,15.752297540202818,20.50670488603345,123.0,138.0,1.3370923058656948e6
0.003,6127.491695194297,20798.362037020503,9.752196816179434e6,487634.7769985488,716.2387181638887,15.752050064870051,6.835661500799423,122.0,137.0,1.408855782974751e6
0.01,6165.056131578049,21121.29121974507,9.75224468037769e6,487637.1655603709,716.2352051204597,15.751963267180306,2.0507071009026814,122.0,136.0,1.435973580375523e6
