direction,initial_attractor,target_attractor,b6,noise_scale,noise_horizon,relax_horizon,n_requested,n_valid,n_invalid,n_switched,p_switched,ci95_lower,ci95_upper,n_remained,median_nearest_distance
high_to_low,high,low,1.5e-6,0.0,60.0,1500.0,100,100,0,0,0.0,0.0,0.03699480747600191,100,2.026365617186245e-11
high_to_low,high,low,1.5e-6,0.1,60.0,1500.0,100,100,0,0,0.0,0.0,0.03699480747600191,100,3.877458248442418e-11
high_to_low,high,low,1.5e-6,0.15,60.0,1500.0,100,100,0,0,0.0,0.0,0.03699480747600191,100,4.029724894993475e-11
high_to_low,high,low,1.5e-6,0.2,60.0,1500.0,100,100,0,0,0.0,0.0,0.03699480747600191,100,3.4765358344161666e-11
high_to_low,high,low,1.5e-6,0.25,60.0,1500.0,100,100,0,0,0.0,0.0,0.03699480747600191,100,3.9721282252445955e-11
high_to_low,high,low,1.5e-6,0.3,60.0,1500.0,100,100,0,0,0.0,0.0,0.03699480747600191,100,3.5279418072989803e-11
low_to_high,low,high,1.5e-6,0.0,60.0,1500.0,100,100,0,0,0.0,0.0,0.03699480747600191,100,1.718962169835166e-11
low_to_high,low,high,1.5e-6,0.1,60.0,1500.0,100,100,0,3,0.03,0.010254338223414816,0.08452078080402699,97,6.095780392028148e-11
low_to_high,low,high,1.5e-6,0.15,60.0,1500.0,100,100,0,17,0.17,0.10893476059773154,0.25548181233642975,83,5.3798366462076174e-11
low_to_high,low,high,1.5e-6,0.2,60.0,1500.0,100,100,0,41,0.41,0.31867157095664655,0.5079874943890338,59,5.001771977378995e-11
low_to_high,low,high,1.5e-6,0.25,60.0,1500.0,100,100,0,51,0.51,0.4134784047743415,0.6057816990761385,49,5.3014593944229895e-11
low_to_high,low,high,1.5e-6,0.3,60.0,1500.0,100,100,0,64,0.64,0.542352199811621,0.7272892540950986,36,4.548671562941424e-11
