replicate,seed,noise_scale,primary_valid,fine_valid,primary_switched,fine_switched,classifications_agree
1,70260806,0.2,true,true,false,false,true
2,70260807,0.2,true,true,true,true,true
3,70260808,0.2,true,true,true,true,true
4,70260809,0.2,true,true,false,false,true
5,70260810,0.2,true,true,false,false,true
6,70260811,0.2,true,true,true,true,true
7,70260812,0.2,true,true,true,true,true
8,70260813,0.2,true,true,true,false,false
9,70260814,0.2,true,true,false,false,true
10,70260815,0.2,true,true,true,true,true
11,70260816,0.2,true,true,false,false,true
12,70260817,0.2,true,true,true,true,true
13,70260818,0.2,true,true,false,false,true
14,70260819,0.2,true,true,false,false,true
15,70260820,0.2,true,true,true,true,true
16,70260821,0.2,true,true,true,true,true
17,70260822,0.2,true,true,false,false,true
18,70260823,0.2,true,true,false,false,true
19,70260824,0.2,true,true,false,false,true
20,70260825,0.2,true,true,true,true,true
21,70260826,0.2,true,true,false,true,false
22,70260827,0.2,true,true,true,true,true
23,70260828,0.2,true,true,true,true,true
24,70260829,0.2,true,true,false,false,true
25,70260830,0.2,true,true,true,true,true
26,70260831,0.2,true,true,false,false,true
27,70260832,0.2,true,true,false,false,true
28,70260833,0.2,true,true,false,false,true
29,70260834,0.2,true,true,false,false,true
30,70260835,0.2,true,true,true,true,true
31,70260836,0.2,true,true,false,false,true
32,70260837,0.2,true,true,false,false,true
33,70260838,0.2,true,true,false,false,true
34,70260839,0.2,true,true,true,true,true
35,70260840,0.2,true,true,false,false,true
36,70260841,0.2,true,true,false,false,true
37,70260842,0.2,true,true,true,true,true
38,70260843,0.2,true,true,false,false,true
39,70260844,0.2,true,true,false,false,true
40,70260845,0.2,true,true,false,false,true
41,70260846,0.2,true,true,true,true,true
42,70260847,0.2,true,true,true,true,true
43,70260848,0.2,true,true,false,false,true
44,70260849,0.2,true,true,false,false,true
45,70260850,0.2,true,true,false,false,true
46,70260851,0.2,true,true,false,false,true
47,70260852,0.2,true,true,true,true,true
48,70260853,0.2,true,true,false,false,true
49,70260854,0.2,true,true,false,false,true
50,70260855,0.2,true,true,false,false,true
