b6,grid_type,T100,T365,T10000,M10000,NK10000,CTL10000,B10000,reached_1e5,reached_1e6,t_to_1e5,t_to_1e6,t_to_1e5_plot,t_to_1e6_plot,auc_0_365,auc_0_1000,final_state
1.0e-7,coarse,12833.342969546235,9.750214482608862e6,9.750214515762888e6,487535.85538145906,716.3841554338843,15.755575648795979,205.03003618047777,true,true,136.0,151.0,136.0,151.0,1.9450261739811957e9,8.136412391141842e9,tumor_dominant
1.0911259985980699e-7,coarse,12319.781688305797,9.750027598910991e6,9.750027637289556e6,487526.52965205646,716.3978300196293,15.75587504681747,205.03395705285666,true,true,138.0,152.0,138.0,152.0,1.930077913059646e9,8.121345462334758e9,tumor_dominant
1.1905559448166353e-7,coarse,11792.635222453562,9.749823679946443e6,9.749823725156903e6,487516.3538976667,716.4127516171164,15.75620284749156,205.03823454769088,true,true,140.0,154.0,140.0,154.0,1.913341050313982e9,8.104479115313075e9,tumor_dominant
1.29904654417492e-7,coarse,11253.844733659806,9.749601172020365e6,9.749601226360334e6,487505.2506191474,716.4290340334302,15.756560341315362,205.04290231235092,true,true,142.0,156.0,142.0,156.0,1.8945479218589854e9,8.085544700026263e9,tumor_dominant
1.417423457738231e-7,coarse,10705.600494915308,9.74935837937419e6,9.749358446224459e6,487493.1352475838,716.4468014792361,15.756950163280308,205.0479960322978,true,true,144.0,158.0,144.0,158.0,1.873377423173014e9,8.064220035822326e9,tumor_dominant
1.5465875857609567e-7,coarse,10150.319637340566,9.749093450970935e6,9.749093535464264e6,487479.915498603,716.4661895230774,15.757375551742284,205.0535543507166,true,true,146.0,161.0,146.0,161.0,1.849440721291829e9,8.040115115422879e9,tumor_dominant
1.6875219239328019e-7,coarse,9590.615038697651,9.74880436582955e6,9.74880447606169e6,487465.49066757236,716.4873461338163,15.757839735739502,205.05961970323497,true,true,149.0,163.0,149.0,163.0,1.8222620148785515e9,8.012752856018145e9,tumor_dominant
1.8412990444073146e-7,coarse,9029.256992695951,9.748488916549945e6,9.7484890658486e6,487449.75086024054,716.5104328195199,15.758345613830622,205.06623892767647,true,true,152.0,167.0,152.0,167.0,1.7912521830607336e9,7.981542738303962e9,tumor_dominant
2.0090892585466033e-7,coarse,8469.12574834782,9.74814469023381e6,9.748144901677024e6,487432.5761528815,716.5356258718061,15.75889899813337,205.0734609518991,true,true,156.0,170.0,156.0,170.0,1.7556720019451222e9,7.945744012285562e9,tumor_dominant
2.1921695235043183e-7,coarse,7913.159270719283,9.74776904502186e6,9.747769361046461e6,487413.8356754347,716.5631177256072,15.759501791924936,205.0813428682063,true,true,160.0,174.0,160.0,174.0,1.7145796834871309e9,7.904413224426753e9,tumor_dominant
2.3919331604299044e-7,coarse,7364.2953992964285,9.747359077608386e6,9.747359582045728e6,487393.3866105437,716.5931184452648,15.760160349353349,205.08994345370047,true,true,165.0,179.0,165.0,179.0,1.6667541991980283e9,7.8563275284895525e9,tumor_dominant
2.609900458253917e-7,coarse,6825.412718640801,9.74691156787757e6,9.74691244145388e6,487371.0731007136,716.6258573489083,15.760878719849861,205.09932926474895,true,true,171.0,185.0,171.0,185.0,1.6105800058332968e9,7.799869396964259e9,tumor_dominant
2.847730243753865e-7,coarse,6299.27097139653,9.74642285403605e6,9.746424530829584e6,487346.7250550948,716.6615847842812,15.761662607444121,205.10957189831447,true,true,177.0,192.0,177.0,192.0,1.543867958028534e9,7.732847517459684e9,tumor_dominant
3.1072325059538613e-7,coarse,5788.455108712987,9.745888455270804e6,9.745892130402945e6,487320.1568465921,716.7005740704811,15.762517783356449,205.1207498941976,true,true,186.0,200.0,186.0,200.0,1.4635660907229657e9,7.652207554849846e9,tumor_dominant
3.3903821709352905e-7,coarse,5295.324231489058,9.745301579035364e6,9.745311180565594e6,487291.1658891239,716.7431236214952,15.763451313627652,205.13294838347187,true,true,196.0,210.0,196.0,210.0,1.3652703388963783e9,7.5535428374926e9,tumor_dominant
3.699334131890861e-7,coarse,4821.968789014899,9.744645351590198e6,9.744677250736227e6,487259.53108389635,716.7895592690533,15.764470136197422,205.14626094936796,true,true,208.0,223.0,208.0,223.0,1.2423484562675412e9,7.430218174682222e9,tumor_dominant
4.0e-7,fine,4416.1068985469055,9.743935624552138e6,9.744060282459728e6,487228.7427019741,716.8347582587096,15.765461425456987,205.1592193048191,true,true,223.0,237.0,223.0,237.0,1.1027766144159184e9,7.290253581340987e9,tumor_dominant
4.0364396488073397e-7,coarse,4370.17713135305,9.74383613661454e6,9.743985505356994e6,487225.0111224996,716.8402368040626,15.765581691057694,205.16078988974778,true,true,225.0,239.0,225.0,239.0,1.08425593074639e9,7.271685154024061e9,tumor_dominant
4.1282051282051284e-7,fine,4257.40297613817,9.743557607305564e6,9.743797192583976e6,487215.6138060583,716.8540339130527,15.765884982326508,205.16474490515697,true,true,230.0,244.0,230.0,244.0,1.0358652111584835e9,7.223173905885361e9,tumor_dominant
4.2564102564102564e-7,fine,4106.472643072875,9.743049399822779e6,9.743534095451305e6,487202.48454731103,716.8733111368123,15.76630796557756,205.17027144227055,true,true,237.0,251.0,237.0,251.0,9.636971312802737e8,7.150836178300666e9,tumor_dominant
4.3846153846153845e-7,fine,3962.8166317589776,9.742231516568752e6,9.7432709910609e6,487189.35492569226,716.8925899302184,15.766730695416667,205.1757986583923,true,true,245.0,259.0,245.0,259.0,8.855493650336208e8,7.072515498536379e9,tumor_dominant
4.404264242585751e-7,coarse,3941.412964768361,9.742055608236626e6,9.743230666753234e6,487187.3426334721,716.8955447578828,15.76679514654419,205.17664607440707,true,true,246.0,261.0,246.0,261.0,8.729910693079354e8,7.059930169020216e9,tumor_dominant
4.512820512820513e-7,fine,3825.9752469609402,9.740624555816699e6,9.743007879411945e6,487176.2249411627,716.9118702934979,15.76715371039215,205.18132612585282,true,true,254.0,268.0,254.0,268.0,8.005539051334146e8,6.987338809756807e9,tumor_dominant
4.641025641025641e-7,fine,3695.5246730024037,9.73684207444401e6,9.74274476050367e6,487163.0945936821,716.931152226879,15.767576423479118,205.18685430766064,true,true,263.0,278.0,263.0,278.0,7.076627795635716e8,6.894243533032343e9,tumor_dominant
4.769230769230769e-7,fine,3571.073676344193,9.726490986031502e6,9.742481634335218e6,487149.96388321044,716.9504357305909,15.76799986655096,205.19238239401855,true,true,274.0,288.0,274.0,288.0,6.056137783783126e8,6.791921147826284e9,tumor_dominant
4.805607219781149e-7,coarse,3536.804238228711,9.72079718585831e6,9.742406974563647e6,487146.2381577034,716.9559074468834,15.768120093950197,205.19395093586095,true,true,277.0,291.0,277.0,291.0,5.747906837779922e8,6.760991410485437e9,tumor_dominant
4.897435897435898e-7,fine,3452.2606645591136,9.69411015455608e6,9.742218500905847e6,487136.83280970843,716.9697208048616,15.768423096708883,205.19791112707998,true,true,285.0,300.0,285.0,300.0,4.929372951211109e8,6.678738782468837e9,tumor_dominant
5.025641025641025e-7,fine,3338.7510226716317,9.57845516474084e6,9.741955360214744e6,487123.7013731355,716.9890074499186,15.768846386707072,205.20344028909233,true,true,298.0,313.0,298.0,313.0,3.682153072010467e8,6.552627909679372e9,tumor_dominant
5.153846153846154e-7,fine,3230.2347311127446,9.107007302400226e6,9.74169221226112e6,487110.56957345235,717.0082956659915,15.769269487452375,205.20897007895573,true,true,313.0,327.0,313.0,327.0,2.3174521040889898e8,6.410922484482989e9,tumor_dominant
5.243522976553802e-7,coarse,3157.1431239557655,7.999718730483401e6,9.74150814141944e6,487101.38393664535,717.0217883061636,15.769565399596363,205.21283836411348,true,true,324.0,339.0,324.0,339.0,1.3412185173468983e8,6.300702233792196e9,tumor_dominant
5.282051282051282e-7,fine,3126.4242335446966,7.061280752914e6,9.7414290570442e6,487097.43741061876,717.027585453307,15.769692132143854,205.21450070327919,true,true,329.0,344.0,329.0,344.0,9.492148413138933e7,6.250116929347706e9,tumor_dominant
5.41025641025641e-7,fine,3027.0525294600984,1.580650198133763e6,9.741165894563073e6,487084.3048845949,717.0468768120955,15.770116065006947,205.22003079672913,true,true,348.0,363.0,348.0,363.0,1.159060064130694e7,6.065492393761503e9,tumor_dominant
5.538461538461539e-7,fine,2931.8714207148823,62889.46868657372,9.740902724817077e6,487071.17199534114,717.0661697425842,15.770539239809763,205.2255619621917,true,true,370.0,385.0,370.0,385.0,2.4693136255332464e6,5.850517197144853e9,tumor_dominant
5.666666666666667e-7,fine,2840.649939124279,17456.306007806965,9.740639547805369e6,487058.0387428171,717.0854642450016,15.77096220771477,205.23109376449298,true,true,396.0,411.0,396.0,411.0,1.7648344552429398e6,5.595840184192037e9,tumor_dominant
5.721344243964179e-7,coarse,2802.89634243783,13089.174413344112,9.74052730452007e6,487052.43749575084,717.0936935410692,15.771143179634405,205.23345268958843,true,true,409.0,424.0,409.0,424.0,1.6298653085212372e6,5.471942290967228e9,tumor_dominant
5.794871794871795e-7,fine,2753.1729277040104,9895.102953489335,9.740376363527082e6,487044.9051269831,717.1047603195781,15.771386053196245,205.236625364,true,true,428.0,443.0,428.0,443.0,1.498580920285296e6,5.287504004322565e9,tumor_dominant
5.923076923076923e-7,fine,2669.2397655521536,7148.036877718675,9.740113171981523e6,487031.7711477992,717.1240579665396,15.771809249447807,205.2421579485955,true,true,467.0,482.0,467.0,482.0,1.3402745932147629e6,4.9035457890178795e9,tumor_dominant
6.051282051282052e-7,fine,2588.6632147784508,5756.096744761666,9.739849973167818e6,487018.6368052256,717.1433571861188,15.772232828562359,205.24769070979596,true,true,518.0,533.0,518.0,533.0,1.2281875825892126e6,4.406924187057064e9,tumor_dominant
6.179487179487179e-7,fine,2511.268342531631,4911.011231318968,9.739586767085198e6,487005.5020992221,717.1626579785399,15.772656329311541,205.25322401271842,true,true,588.0,603.0,588.0,603.0,1.141392814486738e6,3.728919381339793e9,tumor_dominant
6.242707451518734e-7,coarse,2474.224372250617,4603.368135436165,9.739456972719852e6,486999.0250038609,717.1721761281482,15.772865080099104,205.25595282731436,true,true,633.0,648.0,633.0,648.0,1.1048177489498109e6,3.2886877482508397e9,tumor_dominant
6.307692307692308e-7,fine,2436.8915560895425,4336.8248898967195,9.739323553732915e6,486992.36702974903,717.1819603440333,15.773079179066777,205.25875831657476,true,true,691.0,706.0,691.0,706.0,1.0704882127884675e6,2.722839219438516e9,tumor_dominant
6.435897435897435e-7,fine,2365.379733040043,3915.888216431163,9.73906033311002e6,486979.23159676616,717.2012642828305,15.773503320210917,205.26429206431823,true,true,869.0,884.0,869.0,884.0,1.0104892112135773e6,9.942026955093408e8,tumor_dominant
6.564102564102564e-7,fine,2296.5894382591787,3590.1146725757853,9.738797105215862e6,486966.09580023383,717.2205697951572,15.773926748181452,205.2698268746236,true,true,1297.0,1311.0,1297.0,1311.0,958447.7082363442,3.6455460454463754e6,tumor_dominant
6.692307692307693e-7,fine,2230.3861897882784,3327.6649215020007,3816.9419403258985,690.8470071112114,203388.666204858,960.1706480206651,112252.95334287194,false,false,NaN,NaN,10000.0,10000.0,912478.970742848,3.1887191113804653e6,intermediate
6.811580401993992e-7,coarse,2171.007659781383,3123.685942483936,3319.242027751347,665.9620449570484,206372.9306955032,871.6851002969222,115478.70581049442,false,false,NaN,NaN,10000.0,10000.0,874039.5229973715,2.9470629733833848e6,intermediate
6.82051282051282e-7,fine,2166.6437853805687,3109.662266788032,3295.7567284088286,664.7877831503063,206515.91643341983,867.299439443192,115635.50845714148,false,false,NaN,NaN,10000.0,10000.0,871305.8485572354,2.931883706481181e6,intermediate
6.948717948717949e-7,fine,2105.243694634415,2924.2091870258278,3024.663076873017,651.2330891862281,208180.8767294567,815.2266808921262,117476.81775701391,false,false,NaN,NaN,10000.0,10000.0,834022.8787902627,2.7413302107567047e6,intermediate
7.076923076923077e-7,fine,2046.0745013142705,2763.4295714435084,2823.6468669079377,641.1823032478891,209432.8829964081,774.8327662995426,118880.4628865734,false,false,NaN,NaN,10000.0,10000.0,799964.4956316605,2.5862761824905514e6,intermediate
7.205128205128205e-7,fine,1989.031402415433,2621.8946183695007,2660.2031598164044,633.0101201540829,210462.0286177856,740.8194494714578,120046.71633175047,false,false,NaN,NaN,10000.0,10000.0,768626.8081841384,2.4541217203939357e6,intermediate
7.333333333333333e-7,fine,1934.0157492475403,2495.7340286469844,2521.110886921939,626.0555217172844,211345.84147155544,711.0177189948298,121057.38393277631,false,false,NaN,NaN,10000.0,10000.0,739618.8330420993,2.33829945936836e6,intermediate
7.432292468156736e-7,coarse,1892.877728585617,2407.0448779829762,2425.9034125974854,621.295139908477,211955.09653546952,690.1517839313525,121759.04620725867,false,false,NaN,NaN,10000.0,10000.0,718623.2574538719,2.2575290821610354e6,intermediate
7.461538461538462e-7,fine,1880.934598926857,2382.108068744696,2399.433704809426,619.9716546392485,212125.10679324289,684.2819486795623,121955.5703695085,false,false,NaN,NaN,10000.0,10000.0,712630.8272993355,2.234880177628301e6,intermediate
7.589743589743589e-7,fine,1829.7003200941579,2278.881218965394,2290.994910721919,614.5497142270501,212824.4472464705,659.9177880351765,122767.34126734757,false,false,NaN,NaN,10000.0,10000.0,687413.006483579,2.1412925278185825e6,intermediate
7.717948717948718e-7,fine,1780.2302340466545,2184.41263280594,2193.0488637644753,609.6524168696297,213460.09351233536,637.4655516888193,123509.90849874238,false,false,NaN,NaN,10000.0,10000.0,663760.8161630969,2.055744358534246e6,intermediate
7.846153846153847e-7,fine,1732.446280287844,2097.4175786699843,2103.676326957088,605.1838083605663,214043.4227804924,616.6016107624473,124195.35927786601,false,false,NaN,NaN,10000.0,10000.0,641504.4773327499,1.9769269088751473e6,intermediate
7.974358974358974e-7,fine,1686.2747140075012,2016.8732796200225,2021.4732776133244,601.0736439135222,214582.77821884397,597.0874225913616,124832.57314023886,false,false,NaN,NaN,10000.0,10000.0,620501.3989967641,1.903849433379648e6,intermediate
8.102564102564103e-7,fine,1641.6458192046302,1941.9533597234015,1945.3759003681619,597.2687747194881,215084.50161165014,578.7409789695041,125428.31408933541,false,false,NaN,NaN,10000.0,10000.0,600630.563028442,1.835740208817207e6,intermediate
8.109567541190433e-7,coarse,1639.251003889829,1938.0087914924422,1941.3775967583053,597.0688572460635,215110.9280218811,577.7694375654327,125459.7727453948,false,false,NaN,NaN,10000.0,10000.0,599575.5809796583,1.832149995794257e6,intermediate
8.230769230769231e-7,fine,1598.493639776723,1871.9812363204542,1874.555489477427,593.7277555780679,215553.54658279428,561.4193127476595,125987.87611879935,false,false,NaN,NaN,10000.0,10000.0,581788.2959231782,1.7719840046649696e6,intermediate
8.358974358974359e-7,fine,1556.7557349786978,1806.3963498161459,1808.351344100226,590.4175492053224,215993.8712405241,545.007603655489,126515.4974394069,false,false,NaN,NaN,10000.0,10000.0,563885.0352071649,1.7120808254641453e6,intermediate
8.487179487179487e-7,fine,1516.3729548536544,1744.7292700251026,1746.2270133801928,587.3113412517773,216408.70179860658,529.4118135310373,127014.6413888718,false,false,NaN,NaN,10000.0,10000.0,546842.8218227675,1.6556176915853715e6,intermediate
8.615384615384615e-7,fine,1477.289237951604,1686.5830141413473,1687.7394430248503,584.3869587567971,216800.70486771088,514.5537075140525,127488.17493772821,false,false,NaN,NaN,10000.0,10000.0,530593.3308688282,1.6022487493201136e6,intermediate
8.743589743589743e-7,fine,1439.4514219089303,1631.618872933014,1632.5182880407697,581.625906213921,217172.12267020045,500.3672634193612,127938.51698850865,false,false,NaN,NaN,10000.0,10000.0,515076.3069559749,1.5516808741750047e6,intermediate
8.848559981579905e-7,coarse,1409.3633236444516,1588.780256347475,1589.516002714828,579.4757843579764,217462.23815778838,489.21226509102536,128291.4195987956,false,false,NaN,NaN,10000.0,10000.0,502879.264790009,1.5121863809162066e6,intermediate
8.871794871794872e-7,fine,1402.8090565684533,1579.5455644887197,1580.2498094232333,579.0124831812162,217524.85605307788,486.7961035235765,128367.72144796059,false,false,NaN,NaN,10000.0,10000.0,500238.3083514708,1.50366304148869e6,intermediate
9.0e-7,fine,1367.3142383526936,1530.110703941824,1530.665397374671,576.5332562964351,217860.53435846177,473.7916318689877,128777.55211432495,false,false,NaN,NaN,10000.0,10000.0,486031.689361076,1.4579782917371169e6,intermediate
9.654893846056293e-7,coarse,1202.303254823904,1311.5407758640451,1311.71853011786,565.5859164245898,219355.24911533092,414.81493195189046,130618.96380851328,false,false,NaN,NaN,10000.0,10000.0,421883.8448649441,1.2548177659034468e6,intermediate
1.0534705689136533e-6,coarse,1017.0427693822966,1083.7484975714808,1083.793960001696,554.1896983078534,220933.2035361351,350.6255024309583,132592.67446687055,false,false,NaN,NaN,10000.0,10000.0,352894.3787645555,1.0411018752798766e6,intermediate
1.1494691264995868e-6,coarse,852.4641918000066,893.039711094399,893.0517552255586,544.65258589925,222271.29708211945,294.6076154079969,134290.83869754753,false,false,NaN,NaN,10000.0,10000.0,293627.7321976716,860715.1764847969,tumor_controlled
1.2542156485095128e-6,coarse,707.3828210366327,731.8496938429345,731.852955787769,536.5926479017177,223414.842717589,245.5577028557312,135760.26652100138,false,false,NaN,NaN,10000.0,10000.0,242553.94665781167,707280.4552345581,tumor_controlled
1.368507301937268e-6,coarse,580.5650627500312,595.1359495156556,595.136825680241,529.7568391069557,224393.97173018902,202.68342293346555,137031.958044397,false,false,NaN,NaN,10000.0,10000.0,198574.8518644142,576486.7111404197,tumor_controlled
