direction,b5,b6,T,M,NK,CTL,B,logT,phase,newton_converged,residual_raw,residual_scaled,max_real_eig,stable
up,0.0001,2.4999999999999994e-7,9.747137895120975e6,487382.3238411307,716.6093496254604,15.760516688502902,205.09459656391687,6.988877154733448,tumor_dominant,true,1.2307737051742151e-9,6.014450142465481e-14,-0.09511125322010108,true
up,0.0001,2.6561876837369643e-7,9.746817484616784e6,487366.3345006616,716.6328103188642,15.76103142589944,205.10132247401492,6.988862878256771,tumor_dominant,true,1.5241994333337061e-9,6.564750236454584e-14,-0.09510526817200479,true
up,0.0001,2.822133204494382e-7,9.746477044656789e6,487349.34563569515,716.6577392686756,15.761578377401063,205.108469317105,6.98884770881677,tumor_dominant,true,1.2166765372967348e-9,3.601499217092497e-14,-0.09509890948793245,true
up,0.0001,2.998446183857244e-7,9.746115322378663e6,487331.29472484026,716.6842285331632,15.76215956279452,205.1160634853877,6.988831590491377,tumor_dominant,true,1.359921952825971e-9,3.334197095771666e-14,-0.09509215386077367,true
up,0.0001,3.1857743295638923e-7,9.745730986451186e6,487312.1153308621,716.7123759644223,15.762777128983943,205.1241330321109,6.988814463847471,tumor_dominant,true,1.5786554286023602e-9,1.3335472210724177e-13,-0.09508497653210107,true
up,0.0001,3.384805814941199e-7,9.74532262214634e6,487291.73685477226,716.7422855758427,15.763433358053137,205.1327077769211,6.988796265719285,tumor_dominant,true,1.3749286154052243e-9,3.556476984328885e-14,-0.0950773512014785,true
up,0.0001,3.5962718069952363e-7,9.744888726100627e6,487270.0842743861,716.7740679332416,15.764130675846912,205.14181941800044,6.988776928972679,tumor_dominant,true,3.325340003357269e-10,5.1619590235050576e-14,-0.0950692499307098,true
up,0.0001,3.82094915244449e-7,9.744427700745095e6,487247.07786637294,716.8078405712387,15.764871661106335,205.15150165144144,6.988756382254361,tumor_dominant,true,8.546976459911093e-10,5.6113069634225806e-14,-0.09506064304479034,true
up,0.0001,4.0596632315633076e-7,9.74393784838331e6,487222.63291071646,716.8437284365583,15.765659055194558,205.16179029834078,6.988734549725066,tumor_dominant,true,5.414904080680571e-10,9.991237421940642e-14,-0.09505149902001792,true
up,0.0001,4.3132909903193055e-7,9.743417364894511e6,487196.6593764853,716.8818643600499,15.766495772452911,205.17272344012744,6.988711350775646,tumor_dominant,true,4.948788046021946e-10,5.696350848865854e-14,-0.09504178437333968,true
up,0.0001,4.582764161943911e-7,9.742864333038248e6,487169.061587699,716.9223895593642,15.767384911229266,205.1843415626806,6.98868669972496,tumor_dominant,true,1.1802967492258176e-9,2.395927250393233e-14,-0.09503146353802931,true
up,0.0001,4.869072689770628e-7,9.74227671533442e6,487139.7378680222,716.9654541743447,15.768329765624522,205.19668770982702,6.988660505498345,tumor_dominant,true,6.958771336940117e-10,3.763565311645497e-14,-0.09502049873556909,true
up,0.0001,5.173268363915514e-7,9.741652346491767e6,487108.58016291214,717.0112178373579,15.769333838005247,205.2098076468559,6.988632671285396,tumor_dominant,true,5.611582309938967e-10,5.716446833485421e-14,-0.09500884983953435,true
up,0.0001,5.496468685159386e-7,9.740988925355649e6,487075.47363777715,717.0598502809286,15.770400852334859,205.22375003472928,6.988603094175691,tumor_dominant,true,1.2114469427615404e-9,3.7215216219901056e-14,-0.09499647423149211,true
up,0.0001,5.83986097022652e-7,9.740284006344e6,487040.29625059833,717.1115319852402,15.771534768379553,205.2385666157239,6.988571664770977,tumor_dominant,true,2.0236257114447653e-10,1.2192962379341185e-13,-0.09498332664331889,true
up,0.0001,6.204706713540754e-7,9.739534990338251e6,487002.9182973469,717.1664548682329,15.772739796848494,205.25431241128524,6.988538266772261,tumor_dominant,true,5.013589543523267e-10,1.6069745636237982e-14,-0.09496935899795617,true
up,0.0001,6.592346221482804e-7,9.738739114994282e6,486963.20192845154,717.2248230212465,15.774020415533275,205.27104593294038,6.988502776540118,tumor_dominant,true,1.7121237760875374e-10,1.602973035392963e-14,-0.09495452023125726,true
up,0.0001,7.00420353617303e-7,9.737893444435136e6,486921.00063442555,717.2868534933679,15.775381386515999,205.28882940717628,6.988465062626408,tumor_dominant,true,4.426965460879728e-10,5.440118432921892e-14,-0.09493875611500119,true
up,0.0001,7.44179166686788e-7,9.736994858285693e6,486876.1586986409,717.3527771278859,15.776827774520363,205.30772901525816,6.988424985275477,tumor_dominant,true,1.356966095045209e-9,1.9591143065833476e-14,-0.09492200905071298,true
up,0.0001,7.906718148188353e-7,9.736040040006226e6,486828.51061511703,717.4228394545222,15.77836496648629,205.32781514904102,6.988382395892785,tumor_dominant,true,5.243236955720931e-10,3.7644541714941124e-14,-0.09490421787305256,true
up,0.0001,8.400690945598977e-7,9.7350254644786e6,486777.88046901143,717.4973016413837,15.779998692454887,205.34916268390324,6.98833713647869,tumor_dominant,true,1.0529674909776077e-9,5.708713794834349e-14,-0.09488531762704416,true
up,0.0001,8.925524729832274e-7,9.733947384796511e6,486724.0812773884,717.5764415108829,15.781735047856577,205.37185127002488,6.988289039025067,tumor_dominant,true,1.4210854715202004e-9,3.7586254386267206e-14,-0.09486523933165208,true
up,0.0001,9.483147543308075e-7,9.732801818207208e6,486666.91428762744,717.6605546242316,15.7835805173037,205.39596564332558,6.988237924872142,tumor_dominant,true,4.5156411943025887e-10,4.5724357732604316e-14,-0.0948439097361049,true
up,0.0001,1.0075607883038165e-6,9.731584531148085e6,486606.16823068005,717.7499554394482,15.785541999995498,205.4215959574832,6.988183604022818,tumor_dominant,true,1.5504610928473994e-9,7.658763713440495e-14,-0.09482125105552833,true
up,0.0001,1.070508222603562e-6,9.730291023319181e6,486541.61852618895,717.8449785482522,15.787626836854008,205.44883813857138,6.988125874411515,tumor_dominant,true,1.3842509360983968e-9,3.288591602597337e-14,-0.09479718069747116,true
up,0.0001,1.1373883024874944e-6,9.728916510726303e6,486473.0264362478,717.9459799976181,15.789842839517027,205.4777942639746,6.988064521124339,tumor_dominant,true,1.2300915841478854e-9,8.111950932813855e-14,-0.09477161096213894,true
up,0.0001,1.2084467202775105e-6,9.727455907626703e6,486400.13816438505,718.0533387022821,15.792198321325955,205.50857296738099,6.987999315567131,tumor_dominant,true,1.0722942533902824e-9,2.7620980469775678e-14,-0.09474444873346552,true
up,0.0001,1.2839445179413834e-6,9.725903807303783e6,486322.68389609177,718.1674579549777,15.794702130458024,205.54128987180113,6.987930014577727,tumor_dominant,true,1.0040821507573128e-9,4.688048183231397e-14,-0.09471559514611835,true
up,0.0001,1.3641590460629988e-6,9.724254461591208e6,486240.37677695503,718.2887670417813,15.797363685363806,205.57606805272636,6.987856359478382,tumor_dominant,true,9.026734915096313e-10,7.043713423281473e-14,-0.0946849452395695,true
up,0.0001,1.4493849827243648e-6,9.722501759062588e6,486152.9118241784,718.4177229705706,15.800193012686135,205.6130385337228,6.987778075064083,tumor_dominant,true,7.248672773130238e-10,8.229954637567728e-14,-0.09465238757803032,true
up,0.0001,1.5399354160423085e-6,9.720639201795718e6,486059.96476695285,718.5548123212806,15.803200787850775,205.65234081695323,6.987694868522082,tumor_dominant,true,1.875378075055778e-9,3.8298449155926726e-14,-0.0946178038669798,true
up,0.0001,1.6361429943367788e-6,9.718659880613945e6,485961.19081082364,718.7005532274343,15.806398378536617,205.6941234513422,6.987606428277601,tumor_dominant,true,1.5024852473288774e-9,5.2391147827350445e-14,-0.09458106852785578,true
up,0.0001,1.7383611481559481e-6,9.716556448699722e6,485856.22332082345,718.8554974992492,15.809797891251359,205.7385446413412,6.987512422760247,tumor_dominant,true,3.292370820418e-10,4.245024654978601e-14,-0.09454204825866722,true
