b6,tumor0,nk0,T365,Tfinal,logTfinal,final_regime,regime_code
1.5e-6,1.0,100.0,473.7846923448969,473.77863871879924,2.676491170907561,controlled,0
1.5e-6,1.4962356560944334,100.0,473.7852112517992,473.77863393419364,2.6764911665309365,controlled,0
1.5e-6,2.2387211385683394,100.0,473.7858448173779,473.77864079174276,2.6764911728037455,controlled,0
1.5e-6,3.3496543915782766,100.0,473.78663505866865,473.77863918844395,2.6764911713371595,controlled,0
1.5e-6,5.011872336272722,100.0,473.78764685709217,473.7786396925659,2.676491171798295,controlled,0
1.5e-6,7.498942093324558,100.0,473.78898753177725,473.77864172813366,2.676491173660291,controlled,0
1.5e-6,11.220184543019636,100.0,473.7908475018554,473.77864050180915,2.6764911725385345,controlled,0
1.5e-6,16.788040181225607,100.0,473.7936006554761,473.77864077198063,2.6764911727856684,controlled,0
1.5e-6,25.118864315095795,100.0,473.7980760934004,473.77864072919346,2.67649117274653,controlled,0
1.5e-6,37.583740428844415,100.0,473.8065841651676,473.7786420432725,2.676491173948558,controlled,0
1.5e-6,56.23413251903491,100.0,473.8287368928369,473.77865472528384,2.67649118554918,controlled,0
1.5e-6,84.13951416451951,100.0,474.00834555731444,473.778675208107,2.676491204285441,controlled,0
1.5e-6,125.89254117941675,100.0,9.72146068891843e6,9.721460689612046e6,6.987731569042199,tumor_dominant,2
1.5e-6,188.36490894898,100.0,9.72146068954129e6,9.72146068961205e6,6.987731569042199,tumor_dominant,2
1.5e-6,281.8382931264455,100.0,9.721460689590534e6,9.721460689612173e6,6.987731569042205,tumor_dominant,2
1.5e-6,421.6965034285823,100.0,9.721460689605681e6,9.721460689612046e6,6.987731569042199,tumor_dominant,2
1.5e-6,630.957344480193,100.0,9.721460689609744e6,9.721460689612046e6,6.987731569042199,tumor_dominant,2
1.5e-6,944.0608762859235,100.0,9.721460689606117e6,9.721460689612076e6,6.987731569042201,tumor_dominant,2
1.5e-6,1412.537544622754,100.0,9.72146068961344e6,9.721460689612046e6,6.987731569042199,tumor_dominant,2
1.5e-6,2113.489039836648,100.0,9.721460689610422e6,9.72146068961217e6,6.987731569042205,tumor_dominant,2
1.5e-6,3162.2776601683795,100.0,9.72146068960798e6,9.721460689612078e6,6.987731569042201,tumor_dominant,2
1.5e-6,4731.512589614803,100.0,9.721460689614087e6,9.721460689612076e6,6.987731569042201,tumor_dominant,2
1.5e-6,7079.457843841381,100.0,9.72146068961172e6,9.721460689612048e6,6.987731569042199,tumor_dominant,2
