tumor0,nk0_control_boundary
1.0,100.0
1.4962356560944334,100.0
2.2387211385683394,100.0
3.3496543915782766,100.0
5.011872336272722,100.0
7.498942093324558,100.0
11.220184543019636,100.0
16.788040181225607,100.0
25.118864315095795,100.0
37.583740428844415,100.0
56.23413251903491,100.0
84.13951416451951,100.0
125.89254117941675,5011.872336272725
188.36490894898,12589.254117941662
281.8382931264455,19952.62314968879
421.6965034285823,25118.864315095823
630.957344480193,31622.776601683792
944.0608762859235,39810.71705534969
1412.537544622754,50118.72336272725
2113.489039836648,63095.7344480193
3162.2776601683795,79432.82347242821
4731.512589614803,79432.82347242821
7079.457843841381,100000.0
10592.537251772897,100000.0
15848.93192461114,125892.54117941661
23713.737056616552,158489.3192461114
35481.33892335753,158489.3192461114
53088.444423098794,199526.23149688786
79432.82347242821,199526.23149688786
118850.22274370189,251188.6431509582
177827.94100389228,316227.7660168379
266072.50597988087,316227.7660168379
398107.1705534969,398107.1705534969
595662.1435290109,501187.2336272725
891250.9381337459,630957.344480193
1.333521432163324e6,794328.2347242822
1.9952623149688789e6,794328.2347242822
2.985382618917957e6,1.0e6
4.466835921509635e6,NaN
6.683439175686149e6,NaN
1.0e7,NaN
