seed,branch_index,step,q,b6,T,M,NK,CTL,B,logT,residual,max_real_eig,stable,n_unstable,n_imag
high_seed,1,0,-7.0,1.0e-7,9.750214515764663e6,487535.85538154904,716.3841554337637,15.755575831581922,205.03003602567838,6.989014215316272,2.985952285210138e-13,-0.09516874565175487,true,0,0
high_seed,2,1,-6.997281011176259,1.0062803422990296e-7,9.75020163634189e6,487535.21266434697,716.385097851757,15.755596508645112,205.03030620574202,6.98901364164014,1.7027942658563297e-14,-0.09516850488762563,true,0,0
high_seed,3,2,-6.986740085783935,1.0310029649267095e-7,9.750150936219672e6,487532.68259436684,716.3888077244312,15.75567790487456,205.0313697822487,6.989011383344453,1.0985485396697053e-14,-0.09516755712155464,true,0,0
high_seed,4,3,-6.9761991603986555,1.0563329809681879e-7,9.750098990201257e6,487530.0903508501,716.3926088027777,15.755761302195117,205.0324595063595,6.989009069541612,2.1811074958360062e-14,-0.09516658607714298,true,0,0
high_seed,5,4,-6.965658235020771,1.0822853130606267e-7,9.75004576766318e6,487527.43440560275,716.3965033305686,15.755846749836017,205.033576021339,6.989006698866674,3.446403674558561e-14,-0.09516559118281326,true,0,0
high_seed,6,5,-6.955117309650651,1.1088752504652439e-7,9.749991237228911e6,487524.71319285105,716.4004936068509,15.755934298239284,205.0347199862981,6.989004269921102,1.1618005583614936e-14,-0.09516457185295833,true,0,0
high_seed,7,6,-6.944576384288681,1.1361184580746534e-7,9.749935366750328e6,487521.92510831665,716.4045819873138,15.756023999089635,205.0358920765864,6.989001781271933,2.0563145874682454e-14,-0.09516352748760662,true,0,0
high_seed,8,7,-6.934035458935267,1.1640309856414787e-7,9.749878123288717e6,487519.0685082685,716.4087708856844,15.75611590534521,205.03709298419272,6.9889992314509355,8.297016976453118e-15,-0.0951624574720597,true,0,0
high_seed,9,8,-6.923494533590834,1.1926292772337103e-7,9.749819473095322e6,487516.14170855185,716.4130627751663,15.756210071269038,205.03832341815698,6.988996618953729,4.574429918911333e-14,-0.09516136117653942,true,0,0
high_seed,10,9,-6.9129536082558305,1.221930180922357e-7,9.749759381591395e6,487513.14298359345,716.4174601899041,15.756306552461275,205.03958410499047,6.988993942238905,8.173995695952762e-15,-0.09516023795581287,true,0,0
high_seed,11,10,-6.902412682930724,1.251950958707113e-7,9.749697813347764e6,487510.0705653812,716.4219657264948,15.756405405892249,205.04087578910858,6.9889911997271055,2.153309384884001e-14,-0.09515908714881743,true,0,0
high_seed,12,11,-6.891871757616009,1.2827092966858736e-7,9.749634732063897e6,487506.9226424198,716.4265820455299,15.75650668993634,205.04219923327358,6.988988389800086,2.196164791793207e-14,-0.09515790807826809,true,0,0
high_seed,13,12,-6.881330832312202,1.3142233154741006e-7,9.749570100546448e6,487503.69735866,716.4313118731753,15.756610464406691,205.04355521904688,6.988985510799764,1.9154762372664487e-14,-0.09515670005026763,true,0,0
high_seed,14,13,-6.870789907019847,1.346511580880177e-7,9.749503880687272e6,487500.39281240146,716.4361580027958,15.756716790590811,205.04494454725574,6.988982561027225,1.837909753448768e-14,-0.09515546235389216,true,0,0
high_seed,15,14,-6.860248981739512,1.379593114843031e-7,9.7494360334409e6,487497.00705516886,716.4411232966154,15.756825731286977,205.04636803846864,6.988979538741724,2.0709369618239897e-14,-0.09515419426077773,true,0,0
high_seed,16,15,-6.849708056471798,1.413487406638471e-7,9.749366518801462e6,487493.5380905597,716.4462106874228,15.756937350841675,205.04782653348315,6.98897644215965,1.3411930759889076e-14,-0.0951528950246926,true,0,0
high_seed,17,16,-6.839167131217331,1.4482144243608582e-7,9.749295295779029e6,487489.9838730648,716.4514231803123,15.757051715187822,205.04932089382768,6.988973269453466,1.4562622465733347e-14,-0.0951515638810988,true,0,0
high_seed,18,17,-6.8286262059767715,1.4837946266868478e-7,9.749222322375376e6,487486.3423068577,716.45676385448,15.757168891884117,205.05085200227384,6.988970018750629,2.8158651775318353e-14,-0.09515020004670591,true,0,0
high_seed,19,18,-6.818085280750813,1.5202489749281418e-7,9.749147555559155e6,487482.6112445563,716.4622358650503,15.757288950155202,205.05242076336185,6.988966688132471,2.9562283107347064e-14,-0.09514880271900819,true,0,0
high_seed,20,19,-6.8075443555401804,1.5575989453803774e-7,9.749070951240452e6,487478.7884859526,716.4678424449618,15.757411960932929,205.05402810393957,6.988963275633069,7.26938174272857e-15,-0.09514737107581688,true,0,0
high_seed,21,20,-6.797003430345638,1.5958665419753722e-7,9.748992464244692e6,487474.87177671184,716.4735869068883,15.757537996898582,205.05567497371536,6.988959779238074,2.928529826653582e-14,-0.09514590427477779,true,0,0
high_seed,22,21,-6.786462505167988,1.6350743092442403e-7,9.748912048285946e6,487470.8588070385,716.4794726452171,15.757667132526295,205.05736234582335,6.988956196883516,1.8564233262762793e-14,-0.09514440145287699,true,0,0
high_seed,23,22,-6.7759215800080685,1.6752453455989766e-7,9.748829655939527e6,487466.74721031025,716.485503138072,15.75779944412737,205.059091217404,6.9889525264545735,7.527850066409556e-15,-0.09514286172593439,true,0,0
high_seed,24,23,-6.765380654866765,1.716403316940335e-7,9.748745238613956e6,487462.5345616786,716.4916819493856,15.75793500989577,205.06086261019877,6.988948765784325,3.626663655909947e-14,-0.09514128418808791,true,0,0
