changed_comp,multiplier,b6,T100,T365,T10000,logT10000,M10000,NK10000,CTL10000,B10000,t_to_1e5,t_to_1e6,t_to_1e5_plot,t_to_1e6_plot,auc_0_365,auc_0_1000,final_state
Tumor,0.1,3.000000000000001e-7,5754.868850787993,9.74610868592026e6,9.746112134521266e6,6.988831448437963,487331.1356422071,716.6844619916909,15.762164388098418,205.11613065697676,185.0,200.0,185.0,200.0,1.4700360766007023e9,7.65881724507507e9,tumor_dominant
Tumor,0.1,3.14953993832204e-7,5494.703763497651,9.745799804713154e6,9.745805328747911e6,6.988817776715724,487315.825211048,716.7069312196357,15.762657525683855,205.12257220191736,190.0,205.0,190.0,205.0,1.421817918474027e9,7.610404243043724e9,tumor_dominant
Tumor,0.1,3.306533941028525e-7,5238.872790261676,9.745473852876188e6,9.745483219120955e6,6.988803422567832,487299.7510755285,716.7305227582139,15.763175094812246,205.12933565826495,200.0,210.0,200.0,210.0,1.367773615805369e9,7.556155359589981e9,tumor_dominant
Tumor,0.1,3.471353568228903e-7,4987.753041815149,9.745128050861174e6,9.74514504170845e6,6.988788351881845,487282.87511324126,716.7552927857934,15.763718521870384,205.13643697301646,205.0,220.0,205.0,220.0,1.306806734489172e9,7.494973653909342e9,tumor_dominant
Tumor,0.1,3.644388901057883e-7,4741.700011479273,9.744756563755263e6,9.744789994387774e6,6.98877252883512,487265.1572959435,716.7813003051231,15.764289142306634,205.14389302935385,210.0,225.0,210.0,225.0,1.2375155051472468e9,7.4254567933349e9,tumor_dominant
Tumor,0.1,3.8260494648864557e-7,4501.045700731502,9.744344609418916e6,9.744417234930547e6,6.98875591580855,487246.5555939878,716.8086072865879,15.764887977975825,205.1517218636902,220.0,235.0,220.0,235.0,1.1580736280560167e9,7.345777793913682e9,tumor_dominant
Tumor,0.1,4.0167651985518443e-7,4266.096948413427,9.743847501470027e6,9.744025878990887e6,6.988738473295914,487227.0258759288,716.8372788188655,15.765517345931658,205.15994142688604,230.0,245.0,230.0,245.0,1.0660523367053813e9,7.253506858057912e9,tumor_dominant
Tumor,0.1,4.2169874719003627e-7,4037.134011004468,9.743103389161838e6,9.743614997992232e6,6.988720159808584,487206.52180306386,716.8673832673626,15.76617777396532,205.16857209363502,240.0,255.0,240.0,255.0,9.581379616328737e8,7.145328001595667e9,tumor_dominant
Tumor,0.1,4.427190154051293e-7,3814.4094839359077,9.7413904547744e6,9.743183616907183e6,6.988700931775356,487184.9947186423,716.8989924408701,15.76687077518314,205.17763450000803,255.0,265.0,255.0,265.0,8.296756421762313e8,7.01657801652523e9,tumor_dominant
Tumor,0.1,4.6478707349102155e-7,3598.147521732011,9.734524924646428e6,9.742730711925184e6,6.9886807434371505,487162.3935314769,716.9321817668621,15.767599235037679,205.18714929046223,270.0,285.0,270.0,285.0,6.739066710663301e8,6.860452688725332e9,tumor_dominant
Tumor,0.1,4.879551502585967e-7,3388.543294804096,9.688086286742976e6,9.74225520800244e6,6.98865954673632,487138.6645936645,716.967030475902,15.76836394942629,205.19713993391144,290.0,305.0,290.0,305.0,4.8080616984024304e8,6.666556754112674e9,tumor_dominant
Tumor,0.1,5.122780779497939e-7,3185.7628257483802,9.148186229899814e6,9.74175597628743e6,6.988637291200254,487113.75157211686,717.0036217956709,15.769166731274776,205.207630296929,315.0,330.0,315.0,330.0,2.3848429678498316e8,6.418040760725239e9,tumor_dominant
Tumor,0.1,5.378134220099089e-7,2989.94306977159,2.113970170286522e6,9.741231831416197e6,6.988613923819006,487087.59531358216,717.0420431551157,15.770009410751765,205.2186455118443,350.0,365.0,350.0,365.0,1.5883176057652257e7,6.085349396332689e9,tumor_dominant
Tumor,0.1,5.646216173286177e-7,2801.192223911975,18208.010070816094,9.74068152867038e6,6.9885893889166075,487060.1337028221,717.0823863992861,15.770894976246735,205.23021114981552,395.0,410.0,395.0,410.0,1.7727900686939347e6,5.610528139406844e9,tumor_dominant
Tumor,0.1,5.927661112721535e-7,2619.590420892113,6957.558382646655,9.740103760991253e6,6.988563628015756,487031.30151358974,717.1247480154323,15.771824584894077,205.24235562427415,475.0,490.0,475.0,490.0,1.3146540517509675e6,4.858766075980277e9,tumor_dominant
Tumor,0.1,6.223135138451644e-7,2445.1904404529014,4666.362697494957,9.739497155841738e6,6.988536579695485,487001.0302520396,717.1692293710001,15.772800462047426,205.25510799683187,625.0,640.0,625.0,640.0,1.101665283332808e6,3.405367299854171e9,tumor_dominant
