changed_comp,multiplier,threshold_T1e5,threshold_T1e4,threshold_T1e3
Tumor,0.1,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
Tumor,0.2,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
Tumor,0.5,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
Tumor,1.0,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
Tumor,2.0,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
Tumor,5.0,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
Tumor,10.0,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
MDSC,0.1,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
MDSC,0.2,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
MDSC,0.5,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
MDSC,1.0,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
MDSC,2.0,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
MDSC,5.0,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
MDSC,10.0,9.183667537427913e-7,9.183667537427913e-7,1.1156285348135952e-6
NK,0.1,9.641442563133607e-7,9.641442563133607e-7,1.1156285348135952e-6
NK,0.2,8.33229088333924e-7,8.33229088333924e-7,1.1156285348135952e-6
NK,0.5,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
NK,1.0,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
NK,2.0,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
NK,5.0,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
NK,10.0,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
CTL,0.1,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
CTL,0.2,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
CTL,0.5,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
CTL,1.0,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
CTL,2.0,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
CTL,5.0,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
CTL,10.0,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
B,0.1,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
B,0.2,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
B,0.5,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
B,1.0,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
B,2.0,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
B,5.0,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
B,10.0,6.859002518299215e-7,6.859002518299215e-7,1.1156285348135952e-6
