log10_b5,log10_b6_control,b5,b6_control_boundary
-5.0,-6.422242649264094,1.0e-5,3.7823120011525856e-7
-4.9411764705882355,-6.387651729880103,1.1450475699382812e-5,4.095889863160102e-7
-4.882352941176471,-6.387651729880103,1.311133937421563e-5,4.095889863160102e-7
-4.823529411764706,-6.353060810496112,1.5013107289081743e-5,4.4354653360234233e-7
-4.764705882352941,-6.353060810496112,1.7190722018585747e-5,4.4354653360234233e-7
-4.705882352941177,-6.318469891112122,1.968419447286611e-5,4.803193788000626e-7
-4.647058823529412,-6.318469891112122,2.2539339047347888e-5,4.803193788000626e-7
-4.588235294117647,-6.283878971728131,2.5808615404180768e-5,5.201409281167251e-7
-4.529411764705882,-6.2492880523441405,2.9552092352028878e-5,5.63263938627689e-7
-4.470588235294118,-6.2492880523441405,3.383855153428233e-5,5.63263938627689e-7
-4.411764705882353,-6.21469713296015,3.874675120456128e-5,6.099621225868601e-7
-4.352941176470588,-6.18010621357616,4.4366873309786156e-5,6.605318847450488e-7
-4.294117647058823,-6.145515294192169,5.0802180469130226e-5,7.152942037031436e-7
-4.235294117647059,-6.110924374808178,5.817091329374358e-5,7.745966692414835e-7
-4.176470588235294,-6.076333455424187,6.660846290809153e-5,8.388156885568838e-7
-4.117647058823529,-6.041742536040196,7.626985859023451e-5,9.083588754108175e-7
-4.0588235294117645,-5.972560697272216,8.733261623828437e-5,1.0652199774439907e-6
-4.0,-5.937969777888225,0.0001,1.1535335282543925e-6
-3.9411764705882355,-5.903378858504234,0.00011450475699382812,1.2491688374075696e-6
-3.8823529411764706,-5.868787939120244,0.00013111339374215642,1.3527329255106409e-6
-3.823529411764706,-5.799606100352262,0.00015013107289081726,1.5863313227918852e-6
-3.764705882352941,-5.7650151809682715,0.00017190722018585745,1.7178483379099004e-6
-3.7058823529411766,-5.695833342200291,0.00019684194472866114,2.0144971522769457e-6
-3.6470588235294117,-5.6612424228163,0.00022539339047347913,2.1815118538242366e-6
-3.588235294117647,-5.626651503432309,0.0002580861540418074,2.3623731425962365e-6
-3.5294117647058822,-5.557469664664328,0.0002955209235202888,2.770322538580971e-6
