b5,b6_control_boundary
1.0e-5,3.7823120011525856e-7
1.1450475699382812e-5,4.095889863160102e-7
1.311133937421563e-5,4.095889863160102e-7
1.5013107289081743e-5,4.4354653360234233e-7
1.7190722018585747e-5,4.4354653360234233e-7
1.968419447286611e-5,4.803193788000626e-7
2.2539339047347888e-5,4.803193788000626e-7
2.5808615404180768e-5,5.201409281167251e-7
2.9552092352028878e-5,5.63263938627689e-7
3.383855153428233e-5,5.63263938627689e-7
3.874675120456128e-5,6.099621225868601e-7
4.4366873309786156e-5,6.605318847450488e-7
5.0802180469130226e-5,7.152942037031436e-7
5.817091329374358e-5,7.745966692414835e-7
6.660846290809153e-5,8.388156885568838e-7
7.626985859023451e-5,9.083588754108175e-7
8.733261623828437e-5,1.0652199774439907e-6
0.0001,1.1535335282543925e-6
0.00011450475699382812,1.2491688374075696e-6
0.00013111339374215642,1.3527329255106409e-6
0.00015013107289081726,1.5863313227918852e-6
0.00017190722018585745,1.7178483379099004e-6
0.00019684194472866114,2.0144971522769457e-6
0.00022539339047347913,2.1815118538242366e-6
0.0002580861540418074,2.3623731425962365e-6
0.0002955209235202888,2.770322538580971e-6
0.00033838551534282334,NaN
0.0003874675120456132,NaN
0.0004436687330978611,NaN
0.0005080218046913023,NaN
0.0005817091329374358,NaN
0.0006660846290809161,NaN
0.0007626985859023443,NaN
0.0008733261623828437,NaN
0.001,NaN
