index,step,q6,q5,b6,b5,T,M,NK,CTL,B,logT,residual,smallest_singular_value,second_smallest_singular_value,b20,leading_nonzero_real_eigenvalue
1,0,-6.70517368518706,-5.0,1.9716340728183465e-7,1.0e-5,4795.477076875026,739.7737388606657,197765.95656910632,1111.703719278483,364994.61530184175,3.6809223732487166,6.438495190200572e-13,1.4018411232289803e-14,0.028229050342501748,-0.01965200273974299,-0.029144061898353536
2,1,-6.692565844727937,-4.954999190891402,2.0297107658115233e-7,1.1091768817029223e-5,4763.894183969386,738.1945957250524,197942.5743132391,1107.2345752956103,354763.2921181612,3.6780532605192637,6.302517268595686e-14,2.4920281061047965e-15,0.029006207252558376,-0.019635485350764672,-0.03004002496715712
3,2,-6.678315373705999,-4.9077510612612,2.0974162396684616e-7,1.2366560848437233e-5,4729.684074607726,736.484091880844,198134.24020593017,1102.3638198063265,343551.7197317463,3.6749239458849914,6.536521982486315e-14,2.7705548568877693e-15,0.02991287103211369,-0.019620292114509746,-0.03106974088303953
4,3,-6.663089600478415,-4.860817059906438,2.1722529691981857e-7,1.3777897201093642e-5,4694.77466027602,734.7386228092637,198330.20702032643,1097.36128969055,331971.4247117705,3.671707247918695,6.584815297308108e-14,2.994328324624624e-15,0.030915585963972172,-0.019607816160386083,-0.032191082695274584
5,4,-6.64687954258946,-4.814221764589236,2.2548645424079153e-7,1.533833558547476e-5,4659.357767342424,732.9677798190489,198529.41911886306,1092.252560070702,320077.5882334481,3.6684192579815202,6.44220796351309e-14,3.134405052383267e-15,0.03202282212546953,-0.019598428679817752,-0.0334103784739899
6,5,-6.629683398200884,-4.767988112018381,2.3459383872470375e-7,1.7061290903878228e-5,4623.6327242037105,731.1815293202847,198730.77031175437,1087.0649806462443,307930.90878016624,3.6650772479539144,6.136036328467976e-14,3.1761155987755033e-15,0.03324351186263881,-0.019592446758757428,-0.034734261707233184
7,6,-6.611506531588198,-4.722136852302731,2.446208485930081e-7,1.8961083366431244e-5,4587.8013247773415,729.3899609992554,198933.1315853142,1081.8270070097383,295596.1709080673,3.6616992550316136,5.686569290302166e-14,3.103765359007538e-15,0.034587040370872596,-0.019590182958654095,-0.03616969091200018
8,7,-6.592361229772071,-4.676686074336141,2.5564586364594893e-7,2.1052996858821354e-5,4552.062822624377,727.6030375248305,199135.3791170116,1076.5674981798238,283140.65812647773,3.658303642693623,5.126937625649395e-14,3.0075265782477502e-15,0.03606322971394834,-0.019591833084143213,-0.03772396780707853
9,8,-6.572266249617326,-4.631650827386068,2.6775263308299787e-7,2.3353349161535505e-5,4516.609234035856,725.8303597029891,199336.42100804806,1071.3150201286992,270632.50096317445,3.6549086624317444,4.509960501548746e-14,2.823905949847658e-15,0.03768231246859948,-0.019597531019016456,-0.03940475091551567
10,9,-6.551246188496223,-4.587042856039389,2.810307299988489e-7,2.5879575237386517e-5,4481.621187892795,724.0809589699894,199535.22135185212,1066.0971926755424,258139.05279612244,3.6515320395664377,3.8896948752280974e-14,2.571952631078691e-15,0.03945488893937452,0.019607392659244518,-0.041220060642136784
